id,nama,jenis_node
40214029,GE GUGAGE GUDO,Badan
40743215,GE DIGEGIGUGAGO,Badan
40790122,GE DIDO GAGUGU,Badan
40903419,GE DO GIGEGADO,Badan
39648348,GIDODAGEDUGIGEDU,Badan
43455373,GEGIGEGOGOGIDIGI,OP
44180851,GEGEGADU DUGOGA,OP
40112912,GE GAGAGUDOGAGU,Badan
40723353,GE DIGUGIGIGOGI,Badan
40363982,GE GIDAGIDODUGU,Badan
40939895,GE DOGIDODUDOGO,Badan
40549641,GE GOGEDODAGEGA,Badan
40113261,GE GAGAGIGUDAGA,Badan
40536323,GE GOGIDAGIGUGI,Badan
40729948,GE DIGUDODOGEDU,Badan
40907371,GE DO DIGIDIGA,Badan
40181140,GE GADUGAGAGE ,Badan
40327178,GE GIGUDIGADIDU,Badan
39731825,GIDODIGIGADUGUGO,Badan
39775292,GIDODIDIGOGUDOGU,Badan
40649152,GE DAGEDOGAGOGU,Badan
43211535,GEGIGUGAGAGOGIGO,OP
43916485,GEGIDOGADAGEDUGO,OP
43472610,GEGIGEDIGUDAGA ,OP
43876806,GEGIDUDIDADU DA,OP
42647089,GEGUDAGEDI DUDO,OP
42149972,GEGUGAGEDODODIGU,OP
34354565,GIGEGIGOGEGODAGO,Non NPWP
48938215,GEDUDOGIDUGUGAGO,Non NPWP
48639814,GEDUDAGIDODUGAGE,Non NPWP
48874282,GEDUDUDIGEGUDUGU,Non NPWP
49100275,GEDOGA  GUDIGO,Non NPWP
48143956,GEDUGAGEGIDOGODA,Non NPWP
49376048,GEDOGIDIDA GEDU,Non NPWP
48395761,GEDUGIDOGODIDAGA,Non NPWP
49281512,GEDOGUDUGAGOGAGU,Non NPWP
33412598,GIGIGEGAGUGODODU,Non NPWP
49073407,GEDO DIGIGE DI,Non NPWP
49115555,GEDOGAGAGOGOGOGO,Non NPWP
48982369,GEDUDODUGUGIDADO,Non NPWP
48964179,GEDUDODAGEGADIDO,Non NPWP
47826860,GEDIDUGUDADUDA ,Non NPWP
49233936,GEDOGUGIGIDOGIDA,Non NPWP
48487701,GEDUGEDUDIDI GA,Non NPWP
48960105,GEDUDODA GA GO,Non NPWP
48539041,GEDUGOGIDO GEGA,Non NPWP
48863409,GEDUDUDAGIGE DO,Non NPWP
47929384,GEDIDOGUDOGIDUGE,Non NPWP
47844202,GEDIDUGEGEGU GU,Non NPWP
48248759,GEDUGUGEDUDIGODO,Non NPWP
48308724,GEDUGI DUDIGUGE,Non NPWP
48371866,GEDUGIDIGADUDADA,Non NPWP
47823992,GEDIDUGUGIDODOGU,Non NPWP
49223701,GEDOGUGUGIDI GA,Non NPWP
48421754,GEDUGEGUGADIGOGE,Non NPWP
49119861,GEDOGAGADODUDAGA,Non NPWP
48188680,GEDUGADUDUDADU ,Non NPWP
48880040,GEDUDUDU  GE ,Non NPWP
31778763,GIGADIDIDUDIDAGI,Non NPWP
43656288,GEGIDAGODAGUDUDU,OP
43094502,GEGI DOGEGO GU,OP
44371344,GEGEGIDIGAGIGEGE,OP
43218345,GEGIGUGADUGIGEGO,OP
45135986,GEGOGAGIGODODUDA,OP
42160742,GEGUGADA DIGEGU,OP
44212261,GEGEGUGAGUGUDAGA,OP
43215453,GEGIGUGAGOGEGOGI,OP
43146290,GEGIGAGEDAGUDO ,OP
41884371,GEGADUDUGEGIDIGA,OP
39728177,GIDODIGUDUGADIDI,Badan
40353035,GE GIGOGI GIGO,Badan
39561256,GIDOGODAGAGUGODA,Badan
40189902,GE GADUDODO GU,Badan
40305286,GE GI GOGUDUDA,Badan
40613622,GE DAGAGIDAGUGU,Badan
40045816,GE  GEGODUGADA,Badan
40268159,GE GUDADUGAGODO,Badan
40528001,GE GOGUDU  GA,Badan
40273996,GE GUDIGIDODODA,Badan
40686705,GE DADUDADI GO,Badan
40104207,GE GA GEGU DI,Badan
40628182,GE DAGUDUGADUGU,Badan
39937946,GIDODOGIDIDOGEDA,Badan
40493769,GE GEDOGIDIDADO,Badan
40483627,GE GEDUGIDAGUDI,Badan
39675289,GIDODADIGOGUDUDO,Badan
49100500,GEDOGA  GO  ,Non NPWP
39717809,GIDODIGADIDU DO,Badan
39645674,GIDODAGEGODADIGE,Badan
40551236,GE GOGOGAGUGIDA,Badan
40589502,GE GODUDOGO GU,Badan
40585496,GE GODUGOGEDODA,Badan
39991303,GIDODODOGAGI GI,Badan
40303090,GE GI GI DO ,Badan
40245368,GE GUGEGOGIDADU,Badan
39972238,GIDODODIGUGUGIDU,Badan
40086946,GE  DUDADOGEDA,Badan
40173433,GE GADIGIGEGIGI,Badan
40630569,GE DAGI GODADO,Badan
39804770,GIDODU GEDIDI ,Badan
41137418,GEGAGAGIDIGEGADU,OP
31836952,GIGADUGIDADOGOGU,Non NPWP
40904994,GE DO GEDODOGE,Badan
40892368,GE DUDOGUGIDADU,Badan
39964671,GIDODODAGEDADIGA,Badan
39742085,GIDODIGEGU DUGO,Badan
39838636,GIDODUGIDUDAGIDA,Badan
40356757,GE GIGODADIGODI,Badan
40039026,GE  GIDO GUDA,Badan
39820680,GIDODUGU DADU ,Badan
40541145,GE GOGEGAGAGEGO,Badan
40518556,GE GOGADUGOGODA,Badan
40088857,GE  DUDUDUGODI,Badan
39865080,GIDODUDAGO DU ,Badan
40394921,GE GIDOGEDOGUGA,Badan
40323630,GE GIGUGIDAGI ,Badan
40333935,GE GIGIGIDOGIGO,Badan
40805892,GE DU GODUDOGU,Badan
40288416,GE GUDUDUGEGADA,Badan
39714929,GIDODIGAGEDOGUDO,Badan
39639095,GIDODAGIDO DOGO,Badan
39658228,GIDODAGODUGUGUDU,Badan
40910498,GE DOGA GEDODU,Badan
40784235,GE DIDUGEGUGIGO,Badan
39607152,GIDODA DIGAGOGU,Badan
40754890,GE DIGOGEDUDO ,Badan
40606760,GE DA DADIDA ,Badan
39662076,GIDODADAGU DIDA,Badan
43095053,GEGI DOGO GOGI,OP
41489372,GEGAGEDUDOGIDIGU,OP
41615580,GEGADAGAGOGODU ,OP
42139784,GEGUGAGIDODIDUGE,OP
43615074,GEGIDAGAGO DIGE,OP
40817236,GE DUGADIGUGIDA,Badan
39923412,GIDODOGUGIGEGAGU,Badan
40496813,GE GEDODADUGAGI,Badan
40290644,GE GUDO DAGEGE,Badan
39974010,GIDODODIGE GA ,Badan
40210560,GE GUGA GODA ,Badan
40418241,GE GEGADUGUGEGA,Badan
39712053,GIDODIGAGU GOGI,Badan
40131855,GE GAGIGADUGOGO,Badan
40379444,GE GIDIDOGEGEGE,Badan
40607771,GE DA DIDIDIGA,Badan
40871922,GE DUDIGADOGUGU,Badan
39892329,GIDODUDOGUGIGUDO,Badan
