rel_id,sumber,target,persentase,nilai,dividen,jenis_relasi
74807956,41241525,40244513,33.333,18433000000.0,0.0,KEPEMILIKAN_SAHAM
74890731,45037695,40205259,10.0,2000000000.0,30000000000.0,KEPEMILIKAN_SAHAM
74897641,45037695,40477106,0.08,1000000.0,0.0,KEPEMILIKAN_SAHAM
74909639,45037695,40524275,33.333,4000000000.0,0.0,KEPEMILIKAN_SAHAM
74816271,41241525,40524275,33.333,4000000000.0,0.0,KEPEMILIKAN_SAHAM
74983253,45037695,40196672,35.5,355000000.0,0.0,KEPEMILIKAN_SAHAM
75351140,45037695,40316321,33.36,41700000.0,0.0,KEPEMILIKAN_SAHAM
75262278,41241525,40316321,33.32,41650000.0,0.0,KEPEMILIKAN_SAHAM
75352836,45037695,40522445,40.0,21200000000.0,0.0,KEPEMILIKAN_SAHAM
75385275,41241525,40522445,20.0,10600000000.0,0.0,KEPEMILIKAN_SAHAM
75274609,41241525,39881309,0.08,1000000.0,0.0,KEPEMILIKAN_SAHAM
74348455,41241525,40161005,0.08,1000000.0,0.0,KEPEMILIKAN_SAHAM
74351452,41241525,40772241,0.002,1000000.0,0.0,KEPEMILIKAN_SAHAM
75328152,41127766,40936929,4.999,1688000000.0,0.0,KEPEMILIKAN_SAHAM
75298564,42774282,40936929,15.0,5065000000.0,0.0,KEPEMILIKAN_SAHAM
75519367,44529100,40936929,22.498,7597000000.0,0.0,KEPEMILIKAN_SAHAM
75290124,41127766,40619320,25.0,125000000.0,0.0,KEPEMILIKAN_SAHAM
75281434,41127766,40693408,25.0,75000000.0,0.0,KEPEMILIKAN_SAHAM
74074580,40719735,40693408,50.0,150000000.0,0.0,KEPEMILIKAN_SAHAM
74068905,39937874,39665087,72.332,68290000000.0,0.0,KEPEMILIKAN_SAHAM
75223067,43749842,39937874,59.072,72743100000.0,0.0,KEPEMILIKAN_SAHAM
75221470,43749842,39665087,27.652,26106840000.0,0.0,KEPEMILIKAN_SAHAM
74331937,43749842,40879239,33.333,22000000000.0,0.0,KEPEMILIKAN_SAHAM
74414239,43575701,40168559,2.0,1800000000.0,0.0,KEPEMILIKAN_SAHAM
74004134,40168559,40776963,99.98,499900000.0,0.0,KEPEMILIKAN_SAHAM
73968308,39961095,40168559,23.0,20700000000.0,0.0,KEPEMILIKAN_SAHAM
74057092,39961095,40548926,27.4,816931306000.0,0.0,KEPEMILIKAN_SAHAM
73964449,39983857,40168559,35.0,31500000000.0,0.0,KEPEMILIKAN_SAHAM
74052111,39983857,40548926,25.5,760282500000.0,0.0,KEPEMILIKAN_SAHAM
74052785,39983857,40784740,80.0,40000000000.0,0.0,KEPEMILIKAN_SAHAM
74027383,39983857,40637081,99.985,2669427500000.0,0.0,KEPEMILIKAN_SAHAM
75071029,44723456,40828958,2.0,10000000.0,0.0,KEPEMILIKAN_SAHAM
74969951,44723456,39788835,100.0,13105910687.0,0.0,KEPEMILIKAN_SAHAM
75639063,42382523,40268721,50.0,1305000000.0,0.0,KEPEMILIKAN_SAHAM
75243195,42382523,39992330,10.0,80000000.0,0.0,KEPEMILIKAN_SAHAM
75215802,42382523,39674266,74.96,9370000000.0,0.0,KEPEMILIKAN_SAHAM
75199639,42382523,40947779,50.0,1500000000.0,0.0,KEPEMILIKAN_SAHAM
74789731,42382523,40973607,4.0,480000000.0,0.0,KEPEMILIKAN_SAHAM
74762464,42382523,40132595,10.0,1000000000.0,500000000.0,KEPEMILIKAN_SAHAM
74499787,41296292,40132595,5.0,500000000.0,250000000.0,KEPEMILIKAN_SAHAM
74758430,42382523,40833436,50.0,275000000.0,0.0,KEPEMILIKAN_SAHAM
74751788,42382523,40376140,13.0,7800000000.0,0.0,KEPEMILIKAN_SAHAM
73966183,39837631,40376140,74.4,44640000000.0,0.0,KEPEMILIKAN_SAHAM
74736380,42382523,39865713,50.0,3000000000.0,0.0,KEPEMILIKAN_SAHAM
75361601,41596462,39551872,95.0,10925000000.0,0.0,KEPEMILIKAN_SAHAM
74047615,39551872,40739824,40.0,160000000.0,0.0,KEPEMILIKAN_SAHAM
75269669,41596462,39770951,95.0,2375000000.0,0.0,KEPEMILIKAN_SAHAM
